,count,text
0,1378,
1,376,.
2,153,предмет договора
3,140,конфиденциальность
4,119,ответственность сторон
5,117,заверения об обстоятельствах
6,109,уведомления
7,105,санкции
8,102,срок действия договора
9,101,обязательства стороны-2 в сфере противодействия мошенничеству и коррупции
10,95,прочие условия
11,82,информация о горячей линии пао « газпром нефть » в рамках системы противодействия мошенничеству и коррупции
12,77,заказчик
13,75,контроль над выполнением обязательств по соблюдению применимого законодательства в сфере противодействия мошенничеству и коррупции
14,75,приложение № 2
15,75,приложение № 1
16,73,порядок разрешения споров
17,71,стоимость услуг и порядок расчетов
18,60,права и обязанности сторон
19,60,приложение № 3
20,57,"начало формы 
 заказчик 
 исполнитель 
 ооо « газпромнефть-сахалин »"
21,55,"обязательство 
 по соблюдению применимого законодательства 
 в сфере противодействия мошенничеству и коррупции"
22,55,подписи сторон
23,54,"подписи сторон 
 заказчик"
24,53,обстоятельства непреодолимой силы
25,50,"конец формы 
 форма согласована 
 заказчик"
26,49,заключительные положения
27,48,_________________________________
28,39,« стационарное обслуживание »
29,36,"заказчик 
 исполнитель"
30,34,"заказчик 
 исполнитель 
 обучающийся"
31,30,"конец формы 
 форма согласована"
32,28,от исполнителя :
33,27,"контроль над выполнением обязательств по соблюдению 
 применимого законодательства в сфере противодействия мошенничеству и коррупции"
34,27,обязательства заказчика
35,27,м.п.
36,26,термины и определения
37,26,разрешение споров
38,26,обязательства и инструкции
39,26,"законодательные требования , законы и дополнительные стандарты"
40,26,"ответственность за соблюдение требований в области пэб , от и гз"
41,26,"несчастные случаи , аварии и инциденты"
42,26,обучение
43,26,"запрет употребления алкоголя , наркотиков и иных токсических веществ"
44,26,применение средств индивидуальной защиты
45,26,охрана окружающей среды
46,24,интеллектуальная собственность
47,22,« скорая и неотложная медицинская помощь »
48,22,"предварительное совещание по пэб , от и гз"
49,22,отчетность
50,22,охрана здоровья
51,20,информация о горячей линии оао « газпром нефть » в рамках системы противодействия мошенничеству и коррупции
52,20,адреса и реквизиты сторон
53,20,опасная эксплуатация
54,19,приложение № 4
55,19,обязанность сторон
56,18,"требования к субподрядчикам в области пэб , от и гз"
57,17,"соглашение в области промышленной , экологической безопасности , охраны труда и гражданской защиты"
58,16,г. санкт-петербург :
59,16,приложение № 5
60,16,"совещания по вопросам пэб , от и гз"
61,16,проверка небезопасных действий
62,16,"конец формы 
 форма согласована 
 заказчик 
 исполнитель 
 обучающийся"
63,15,обстоятельства непреодолимой силы ( форс-мажор )
64,15,бик 044525823
65,15,"подписи сторон 
 сторона-1"
66,15,"технический аудит/аудит пэб , от и гз , проводимый заказчиком"
67,15,спецификация
68,15,подписи сторон :
69,14,"выявление , оценка и минимизация рисков в области пэб , от и гз"
70,14,требования к инструментам и оборудованию
71,14,требования к применению опасных материалов
72,14,"конец формы 
 форма согласована"
73,14,"подписи сторон 
 заказчик 
 исполнитель 
 обучающийся"
74,14,"end of form 
 form agreed"
75,13,___________________________
76,13,« стоматологическая помощь в специализированных медицинских учреждениях »
77,13,"перечень работников , направляемых на мероприятие 
 № п/п"
78,13,"от заказчика :  
 от исполнителя : "
79,13,порядок сдачи и приемки оказанных услуг
80,13,стоимость услуг
81,13,уступка прав/субподряд
82,12,description / описание
83,12,"total contract price adjustments 
 суммарное изменение цены договора"
84,12,"заболевания и состояния , лечение которых не может быть оплачено страховщиком"
85,12,допуски на выполнение работ
86,12,договор на оказание информационно-консультационных услуг
87,12,порядок сдачи-приемки услуг
88,12,условия поставки
89,12,"исполнитель 
 ооо « главнефтеснаб »"
90,12,"№ 
 описание 
 кол-во 
 предложение исполнителя ( спецификация/ тип/ модель/ зав.№ и т.д . ) 
 1"
91,11,привлечение субподрядных организаций
92,11,« дородовое наблюдение за беременными »
93,11,« родовспоможение »
94,11,"дополнительные медицинские услуги , оказываемые застрахованным*"
95,11,прекращение и приостановление работ
96,11,руководство по действиям в аварийной ситуации
97,11,"1 
 -"
98,11,исполнитель :
99,11,техническое задание
